                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86316,                  1.913,                 1.3038,                0.75277,                0.67041,                 0.6746,                0.56853,                0.61807,                 1.0586,                 1.1341,             0.00015847,             0.00015847,             0.00015847
                      2,                0.71682,                 1.0624,                  1.187,                0.63086,                0.69148,                0.70524,                0.59731,                 0.6101,                 0.9195,                 1.1282,             0.00030144,             0.00030144,             0.00030144
                      3,                0.70528,                0.93543,                 1.1753,                0.69856,                0.71691,                0.75668,                0.64828,                 0.5597,                0.73214,                 1.0909,              0.0004287,              0.0004287,              0.0004287
                      4,                0.66775,                0.82831,                 1.1503,                0.69888,                0.75226,                0.77225,                0.68106,                0.51117,                0.67646,                 1.0504,             0.00040531,             0.00040531,             0.00040531
                      5,                0.64047,                0.76811,                 1.1329,                0.69899,                0.74735,                 0.7718,                0.68585,                 0.4933,                0.64761,                 1.0335,             0.00038175,             0.00038175,             0.00038175
                      6,                0.62324,                0.72485,                 1.1189,                0.72748,                0.75872,                0.78698,                0.71024,                0.46968,                0.59101,                 1.0159,             0.00035819,             0.00035819,             0.00035819
                      7,                0.60577,                0.69502,                 1.1086,                0.74966,                0.75908,                 0.7963,                0.71731,                0.45962,                0.55973,                 1.0058,             0.00033463,             0.00033463,             0.00033463
                      8,                0.59248,                0.67226,                 1.1011,                0.73746,                0.76888,                0.79328,                0.72295,                0.44179,                0.54574,                 0.9923,             0.00031107,             0.00031107,             0.00031107
                      9,                0.58267,                 0.6473,                 1.0946,                0.73775,                0.76991,                0.79884,                0.73474,                0.42968,                0.53269,                0.97388,              0.0002875,              0.0002875,              0.0002875
                     10,                0.57031,                0.62709,                 1.0839,                0.76343,                0.77933,                0.80776,                0.74532,                0.41775,                0.49741,                0.96308,             0.00026394,             0.00026394,             0.00026394
                     11,                0.43827,                0.50809,                0.98225,                0.76305,                0.78523,                0.80918,                0.75314,                0.39854,                0.46818,                0.94557,             0.00024038,             0.00024038,             0.00024038
                     12,                 0.4178,                0.47923,                0.96532,                0.77357,                0.79353,                0.81749,                0.76507,                0.38509,                0.44122,                0.93182,             0.00021682,             0.00021682,             0.00021682
                     13,                0.40782,                0.45699,                0.95672,                0.77181,                 0.7982,                0.81724,                0.76608,                 0.3804,                0.43543,                0.93275,             0.00019326,             0.00019326,             0.00019326
                     14,                0.39691,                0.43993,                0.94907,                0.78335,                0.79882,                0.82146,                0.77329,                0.36808,                0.41402,                0.91999,             0.00016969,             0.00016969,             0.00016969
                     15,                0.38796,                0.42407,                0.94325,                0.78599,                0.79814,                0.82309,                0.77738,                0.36331,                0.40429,                0.91829,             0.00014613,             0.00014613,             0.00014613
                     16,                0.37907,                0.41171,                0.93518,                0.78247,                0.80735,                 0.8235,                0.77814,                0.35797,                0.39649,                0.91344,             0.00012257,             0.00012257,             0.00012257
                     17,                0.37033,                0.39592,                0.92928,                0.78686,                0.81055,                 0.8258,                0.78303,                0.35117,                0.38316,                0.90666,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     18,                0.36342,                0.38524,                0.92505,                0.79507,                0.80745,                0.82761,                0.78655,                0.34621,                0.37361,                0.90359,             7.5446e-05,             7.5446e-05,             7.5446e-05
                     19,                0.35605,                0.37425,                0.91823,                0.79435,                0.80799,                0.82767,                0.78678,                 0.3434,                0.36897,                0.90019,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     20,                0.34997,                0.36378,                0.91579,                0.79231,                0.81552,                0.82808,                0.78779,                 0.3402,                0.36363,                0.89889,             2.8322e-05,             2.8322e-05,             2.8322e-05
